fecha	hora	demanda
2020-01-24	1	9238,533715405198
2020-01-25	15	9627,625028549302
2020-01-24	2	8875,799678370804
2020-01-24	3	8529,231361044298
2020-01-24	4	8353,272582236705
2020-01-24	5	8317,1519671601
2020-01-25	16	9584,23476572009
2020-01-24	6	8493,682355629198
2020-01-25	17	9431,99841847389
2020-01-24	7	8667,715639542695
2020-01-24	8	8840,831580007301
2020-01-25	18	9390,244446887995
2020-01-24	9	9454,3646493178
2020-01-25	19	9292,245306531995
2020-01-24	10	9968,109411022797
2020-01-25	20	9194,814882463907
2020-01-24	11	10368,788246948308
2020-01-25	21	9253,673908719093
2020-01-24	12	10491,417228338098
2020-01-25	22	9577,266955141005
2020-01-24	13	10507,453194890695
2020-01-24	14	10506,95267266548
2020-01-25	23	9463,496805162706
2020-01-24	15	10720,755020275596
2020-01-25	24	9064,194154273297
2020-01-26	1	8648,234055214998
2020-01-26	2	8361,440391579998
2020-01-31	5	8256,645875490998
2020-01-26	3	8064,164422247602
2020-01-31	6	8269,411471054
2020-01-26	4	7830,503115753502
2020-01-31	7	8491,448845223107
2020-01-26	5	7755,195128809302
2020-01-26	6	7730,2225846033025
2020-01-31	8	8612,824738991003
2020-01-31	9	9166,210081523895
2020-01-26	7	7679,4143088167
2020-01-31	10	9744,794203536396
2020-01-26	8	7479,571387583102
2020-01-31	11	10080,095350457595
2020-01-26	9	7691,363196934199
2020-01-31	12	10332,124455023108
2020-01-26	10	8006,1942329413
2020-01-31	13	10474,087190587305
2020-01-31	14	10534,407893728803
2020-01-31	15	10670,667189320402
2020-01-31	16	10737,1955412013
2020-01-26	11	8365,8479326483
2020-01-31	17	10554,429770608007
2020-01-26	12	8573,1502765952
2020-01-31	18	10359,150964031403
2020-01-26	13	8747,524661373993
2020-01-31	19	10043,520294838008
2020-01-26	14	8868,345787002008
2020-01-31	20	9801,224423294501
2020-01-26	15	8879,17833795221
2020-04-10	8	7335,612926204115
2020-01-26	16	8808,480035268101
2020-04-10	9	7353,844783935899
2020-04-10	10	7652,878397024596
2020-04-10	11	7877,765372823502
2020-01-26	17	8807,258789688094
2020-04-10	12	8100,520331346193
2020-01-26	18	8757,4389442574
2020-04-10	13	8266,901510638905
2020-01-26	19	8726,357845372902
2020-04-10	14	8435,362938220007
2020-04-10	15	8410,842384187305
2020-04-10	16	8329,886485897303
2020-01-26	20	8758,658664579905
2020-04-10	17	8270,7838210858
2020-01-26	21	8907,673150955807
2020-04-10	18	8330,353621594599
2020-01-26	22	9401,6055672877
2020-04-10	19	8742,114557305444
2020-04-10	20	9218,0438511146
2020-01-26	23	9392,428754220797
2020-04-10	21	9030,319456979598
2020-01-26	24	9053,0636314462
2020-04-10	22	8840,7310275686
2020-01-27	1	8760,6021451357
2020-04-10	23	8579,836575518102
2020-01-27	2	8400,2690590998
2020-04-10	24	8283,404448357802
2020-01-27	3	8141,876824008698
2020-04-11	1	8005,222425664804
2020-01-27	4	7986,423978119602
2020-04-11	2	7712,746098246898
2020-04-11	3	7463,930881584999
2020-01-27	5	7956,136992721002
2020-04-11	4	7372,8496586001
2020-01-27	6	8068,014063552502
2020-04-11	5	7315,793295378195
2020-01-27	7	8359,478042812296
2020-04-11	6	7317,272138735401
2020-04-11	7	7320,083699599102
2020-04-11	8	7043,189595374727
2020-01-27	8	8595,1060013216
2020-04-11	9	7108,256528411205
2020-01-27	9	9240,006299801104
2020-04-11	10	7476,098575480697
2020-04-11	11	7819,817961741303
2020-01-27	10	9897,8573222624
2020-04-11	12	8062,557326634998
2020-01-27	11	10290,494829541007
2020-04-11	13	8239,788383872297
2020-01-27	12	10546,301700128693
2020-04-11	14	8418,048173945597
2020-01-27	13	10616,999466890407
2020-04-11	15	8523,032969557204
2020-04-11	16	8477,348098113505
2020-01-27	14	10727,890709205203
2020-04-11	17	8423,089784477905
2020-04-11	18	8406,787816334707
2020-01-27	15	10829,592778243396
2020-04-11	19	8862,96498412407
2020-01-27	16	10907,033251776797
2020-04-11	20	9219,5944074031
2020-04-11	21	9025,943509082597
2020-01-27	17	10844,183456818808
2020-04-11	22	8833,700078615306
2020-01-27	18	10600,210075334
2020-04-11	23	8583,470626197799
2020-01-27	19	10291,339274043203
2020-04-11	24	8374,1315634819
2020-01-27	20	10134,706563568798
2020-04-12	1	8072,680703784603
2020-01-27	21	10131,384459585799
2020-04-12	2	7697,663899007601
2020-04-12	3	7476,880002601301
